item_num,item_name,tobia_percentage
1,Airplane,74.2290109
2,Ambulance,93.17309604
3,Automobile,93.17309604
4,Baby Carrier,8.085256028
5,Baby Stroller,25.74499641
6,Bicycle,67.48620094
7,Bus,94.45744079
8,Canoe,44.36799535
9,Car,94.45744079
11,Crutches,5.516566518
12,Drone,20.2865312
23,Electric Wheelchair,51.4318915
13,Golf Cart,86.38441662
14,Helicopter,78.40313135
10,Horse Carriage,74.2290109
16,Liferaft,29.87898109
17,Moped,82.25616562
18,Pogostick,14.82806599
19,Rollerskates,14.82806599
20,Skateboard,31.20346161
21,Toy Car,31.20346161
22,Truck,97.25547758
15,Vehicle,93.17309604
24,WWII Truck,66.20185618
25,Zip-line,9.690686972
